Date,price,ma7,ma30,trend7,prev1,target
2024-07-05,2388.5,2335.757149832589,2333.7466552734377,71.89990234375,2359.800048828125,2355.199951171875
2024-07-08,2355.199951171875,2343.757149832589,2332.613321940104,56.0,2388.5,2360.10009765625
2024-07-09,2360.10009765625,2348.8428780691966,2333.449991861979,35.60009765625,2355.199951171875,2372.199951171875
2024-07-10,2372.199951171875,2355.200020926339,2334.7733235677083,44.5,2360.10009765625,2415.0
2024-07-11,2415.0,2367.685721261161,2336.7666585286456,87.39990234375,2372.199951171875,2414.0
2024-07-12,2414.0,2380.685721261161,2339.223323567708,91.0,2415.0,2422.89990234375
2024-07-15,2422.89990234375,2389.6999860491073,2341.889990234375,63.099853515625,2414.0,2462.39990234375
2024-07-16,2462.39990234375,2400.2571149553573,2346.539990234375,73.89990234375,2422.89990234375,2454.800048828125
2024-07-17,2454.800048828125,2414.4857003348216,2350.1466552734373,99.60009765625,2462.39990234375,2451.800048828125
2024-07-18,2451.800048828125,2427.585693359375,2354.356656901042,91.699951171875,2454.800048828125,2395.5
2024-07-19,2395.5,2430.9142717633927,2355.7366536458335,23.300048828125,2451.800048828125,2392.0
2024-07-22,2392.0,2427.6285574776784,2356.4599853515624,-23.0,2395.5,2404.60009765625
2024-07-23,2404.60009765625,2426.285714285714,2359.7733235677083,-9.39990234375,2392.0,2413.300048828125
2024-07-24,2413.300048828125,2424.914306640625,2363.2933268229167,-9.599853515625,2404.60009765625,2351.89990234375
2024-07-25,2351.89990234375,2409.128592354911,2364.7733235677083,-110.5,2413.300048828125,2380.0
2024-07-26,2380.0,2398.44287109375,2366.239990234375,-74.800048828125,2351.89990234375,2377.300048828125
2024-07-29,2377.300048828125,2387.8000139508927,2368.809993489583,-74.5,2380.0,2405.0
2024-07-30,2405.0,2389.157156808036,2371.263330078125,9.5,2377.300048828125,2426.5
2024-07-31,2426.5,2394.0857282366073,2375.0666666666666,34.5,2405.0,2435.0
2024-08-01,2435.0,2398.4285714285716,2378.5533365885417,30.39990234375,2426.5,2425.699951171875
2024-08-02,2425.699951171875,2400.1999860491073,2380.95,12.39990234375,2435.0,2401.699951171875
2024-08-05,2401.699951171875,2407.314278738839,2383.7933349609375,49.800048828125,2425.699951171875,2389.10009765625
2024-08-06,2389.10009765625,2408.6142926897323,2385.7633382161457,9.10009765625,2401.699951171875,2390.5
2024-08-07,2390.5,2410.5,2388.226668294271,13.199951171875,2389.10009765625,2422.199951171875
2024-08-08,2422.199951171875,2412.9571358816966,2392.326668294271,17.199951171875,2390.5,2432.10009765625
2024-08-09,2432.10009765625,2413.757149832589,2395.913338216146,5.60009765625,2422.199951171875,2462.39990234375
2024-08-12,2462.39990234375,2417.6714215959823,2400.4033365885416,27.39990234375,2432.10009765625,2466.699951171875
2024-08-13,2466.699951171875,2423.528564453125,2405.039998372396,41.0,2462.39990234375,2439.39990234375
2024-08-14,2439.39990234375,2428.9142717633927,2408.9199951171877,37.699951171875,2466.699951171875,2453.10009765625
2024-08-15,2453.10009765625,2438.05712890625,2412.029996744792,64.0,2439.39990234375,2498.60009765625
2024-08-16,2498.60009765625,2453.5,2415.7,108.10009765625,2453.10009765625,2501.800048828125
2024-08-19,2501.800048828125,2464.8714425223216,2420.586669921875,79.60009765625,2498.60009765625,2511.300048828125
2024-08-20,2511.300048828125,2476.185721261161,2425.626668294271,79.199951171875,2501.800048828125,2508.39990234375
2024-08-21,2508.39990234375,2482.757149832589,2430.1666666666665,46.0,2511.300048828125,2478.89990234375
2024-08-22,2478.89990234375,2484.5,2432.296663411458,12.199951171875,2508.39990234375,2508.39990234375
2024-08-23,2508.39990234375,2494.3571428571427,2435.443326822917,69.0,2478.89990234375,2517.699951171875
